transaction_id,customer_id,account_id,transaction_datetime,transaction_amount,merchant_name,merchant_category,payment_channel,device_type,device_id,ip_address,customer_age,customer_tenure_months,customer_city,customer_country,account_balance,failed_transactions_last_24h,transactions_last_24h,transactions_last_30d,avg_transaction_amount_30d,distance_from_home_km,is_international,is_new_device
TXN1000010,CUST500010,ACC700010,2025-05-18 20:26:55.503394,917.01,eBay,Entertainment,Net Banking,MacBook,DEV165070,137.61.50.236,65.0,35,Bengaluru,India,682656.13,0,22,231,65343.68,11102.47,0,1
TXN1000011,CUST500011,ACC700011,2025-08-01 11:38:12.287729,1644.66,Walmart,Entertainment,Debit Card,Tablet,DEV639722,32.203.36.10,53.0,36,Mumbai,India,516012.74,1,34,189,16945.33,8552.78,0,0
TXN1000012,CUST500012,ACC700012,2024-09-29 15:46:56.822991,8033.61,Apple,Electronics,Debit Card,Windows,DEV517511,193.243.167.96,20.0,129,Vijayawada,India,121462.36,3,32,103,56882.82,13365.99,0,0
TXN1000013,CUST500013,ACC700013,2025-10-28 23:25:36.489676,954.41,Flipkart,Entertainment,Debit Card,Android,DEV457715,186.145.52.80,,138,Hyderabad,India,201067.98,12,34,70,58977.4,7259.39,0,1
TXN1000014,CUST500014,ACC700014,2025-06-08 23:16:57.660777,1159.82,Alibaba,Entertainment,Net Banking,Windows,DEV515040,194.114.210.59,76.0,58,Singapore,Singapore,1260669.98,2,39,4,67380.29,11857.89,1,1
TXN1000015,CUST500015,ACC700015,2025-01-14 18:43:13.494429,1171.04,Alibaba,Retail,Debit Card,MacBook,DEV479417,198.105.125.50,79.0,172,Delhi,India,1283845.65,5,22,111,57794.42,5145.5,0,0
TXN1000016,CUST500016,ACC700016,2024-11-24 20:47:26.891466,16414.66,Uber,Retail,Net Banking,MacBook,DEV624785,193.204.216.233,34.0,45,Toronto,Canada,1284640.9,6,23,36,69134.05,1834.9,1,1
TXN1000017,CUST500017,ACC700017,2024-09-07 12:10:15.605686,16103.41,Amazon,Food,UPI,Tablet,DEV507285,219.59.255.46,37.0,28,Kolkata,India,698856.62,12,20,125,48548.0,3988.71,0,1
TXN1000018,CUST500018,ACC700018,2025-08-27 01:03:22.464871,4934.73,Apple,E-commerce,Net Banking,Tablet,DEV702887,116.138.145.182,75.0,71,Kolkata,India,506430.3,0,11,64,1591.43,9903.07,0,0
TXN1000019,CUST500019,ACC700019,2025-09-01 13:34:26.633234,2660.28,Airbnb,Entertainment,Credit Card,Windows,DEV487743,206.127.250.21,75.0,57,Mumbai,India,896938.02,0,29,259,67478.73,13312.85,0,1
TXN1000020,CUST500020,ACC700020,2025-02-10 18:52:18.825646,3779.58,Netflix,E-commerce,Net Banking,iPhone,DEV821409,122.152.194.140,74.0,17,New York,USA,1307509.14,4,10,214,26886.16,651.1,1,0
TXN1000021,CUST500021,ACC700021,2024-11-13 04:05:34.762152,8028.33,Apple,Retail,Debit Card,Tablet,DEV273988,191.236.74.175,66.0,136,Bengaluru,India,1259617.85,4,31,240,16887.82,7917.16,0,0
TXN1000022,CUST500022,ACC700022,2025-12-19 19:06:03.599098,709.22,Microsoft,Travel,Credit Card,Tablet,DEV171067,83.142.90.38,58.0,101,Vijayawada,India,610213.02,12,28,57,4605.38,6489.89,0,1
TXN1000023,CUST500023,ACC700023,2026-05-20 15:18:24.146592,5859.56,Airbnb,Electronics,Credit Card,iPhone,DEV353033,134.121.146.232,80.0,10,Bengaluru,India,367474.14,3,4,207,69542.65,164.34,0,1
TXN1000024,CUST500024,ACC700024,2025-04-21 08:25:57.417888,516.01,Costco,Electronics,Net Banking,,DEV294959,12.204.209.182,37.0,29,Mumbai,India,424539.42,10,20,109,38710.59,11229.95,0,0
TXN1000025,CUST500025,ACC700025,2025-02-13 18:05:21.466182,955.51,Apple,Entertainment,Net Banking,MacBook,DEV687711,192.229.124.112,30.0,100,Pune,India,116525.86,7,2,147,10527.78,10968.31,0,0
TXN1000026,CUST500026,ACC700026,2025-03-10 12:13:50.771178,4478.78,Costco,Travel,Mobile Wallet,Tablet,DEV118268,218.226.70.106,46.0,134,Ahmedabad,India,530156.17,5,13,200,70252.66,1585.9,0,0
TXN1000027,CUST500027,ACC700027,2025-11-02 23:58:33.572152,433.25,Alibaba,Retail,Credit Card,MacBook,DEV288530,98.126.91.118,44.0,33,Kolkata,India,1314622.72,2,0,84,59183.64,1294.6,0,0
TXN1000028,CUST500028,ACC700028,2025-08-26 11:01:18.777847,1571.73,Airbnb,Food,Credit Card,MacBook,DEV162521,175.169.176.151,21.0,39,Hyderabad,India,172465.37,11,5,69,50159.39,5383.99,0,0
TXN1000029,CUST500029,ACC700029,2024-08-16 04:58:48.691700,763.75,eBay,Food,Debit Card,,DEV193745,192.54.64.129,61.0,3,Sydney,Australia,438236.86,10,25,177,59038.24,12219.78,1,0
TXN1000030,CUST500030,ACC700030,2025-09-20 09:31:22.149822,1400.21,Costco,Electronics,Debit Card,iPhone,DEV231191,134.150.169.188,53.0,1,Delhi,India,1177697.03,9,34,135,68720.56,14647.64,0,1
TXN1000031,CUST500031,ACC700031,2024-11-30 10:16:11.281317,110.1,Target,Food,UPI,Tablet,DEV403383,140.69.116.189,40.0,81,Bengaluru,India,1035657.7,0,22,260,56937.99,9699.06,0,0
TXN1000032,CUST500032,ACC700032,2025-05-04 03:01:09.500337,307.5,Samsung,Travel,Net Banking,Android,DEV869059,207.56.240.153,56.0,137,Bengaluru,India,298889.46,10,4,99,15480.16,5374.01,0,1
TXN1000033,CUST500033,ACC700033,2024-09-17 05:30:14.637821,897.96,Microsoft,Electronics,Net Banking,Android,DEV373011,147.121.41.153,64.0,8,Vijayawada,India,1146794.4,10,10,99,27477.46,1512.2,0,0
TXN1000034,CUST500034,ACC700034,2025-06-09 05:31:15.781520,4570.89,Netflix,Retail,Debit Card,Windows,DEV236410,155.10.230.103,34.0,106,Delhi,India,140056.11,4,33,284,64819.94,9993.46,0,0
TXN1000035,CUST500035,ACC700035,2026-01-01 13:11:03.898421,1519.85,Google Play,E-commerce,Debit Card,MacBook,DEV346391,154.82.131.26,18.0,24,Dubai,UAE,1258371.04,9,6,226,62814.77,12264.25,1,1
TXN1000036,CUST500036,ACC700036,2025-10-09 03:27:53.938754,1813.2,Target,Electronics,Net Banking,Android,DEV535535,171.128.145.117,31.0,62,Toronto,Canada,1373730.01,12,26,67,60240.34,1257.83,1,1
TXN1000037,CUST500037,ACC700037,2025-03-13 18:38:39.078503,3598.32,Target,Travel,UPI,Android,DEV227942,19.99.1.236,68.0,146,Pune,India,591139.32,9,3,279,53602.02,13125.41,0,1
TXN1000038,CUST500038,ACC700038,2024-08-30 23:26:24.233116,750.29,Amazon,E-commerce,Credit Card,Windows,DEV398723,165.161.120.193,74.0,52,Kolkata,India,641036.83,7,2,217,5018.1,11987.37,0,0
TXN1000039,CUST500039,ACC700039,2024-07-11 18:38:07.498409,2400.97,Microsoft,Electronics,UPI,MacBook,DEV706381,186.137.107.63,79.0,49,Mumbai,India,601677.35,11,27,274,70425.43,1119.09,0,0
TXN1000040,CUST500040,ACC700040,2025-04-21 05:19:34.406409,808.06,Microsoft,Travel,UPI,iPhone,DEV808006,202.137.186.63,20.0,40,Mumbai,India,1283111.14,8,6,26,62825.02,11957.58,0,1
TXN1000041,CUST500041,ACC700041,2025-06-01 02:19:06.928448,321.29,Best Buy,Electronics,Net Banking,MacBook,DEV790042,95.124.99.65,61.0,27,Kolkata,India,131878.68,3,9,70,58676.07,9919.87,0,1
TXN1000042,CUST500042,ACC700042,2024-11-03 09:33:58.888808,1223.05,Alibaba,Travel,Debit Card,MacBook,DEV985614,197.176.137.15,29.0,137,Pune,India,794180.64,10,35,47,74350.41,13875.58,0,0
TXN1000043,CUST500043,ACC700043,2026-02-23 19:57:25.326363,3209.29,Airbnb,E-commerce,Credit Card,Tablet,DEV602688,213.147.35.69,19.0,96,Delhi,India,445092.05,12,29,192,48626.99,4263.25,0,1
TXN1000044,CUST500044,ACC700044,2024-10-11 17:08:39.311248,2536.62,Netflix,Retail,Mobile Wallet,Android,DEV614672,12.62.145.173,69.0,96,Mumbai,India,1131784.5,10,11,54,73269.79,9270.7,0,0
TXN1000045,CUST500045,ACC700045,2025-02-26 04:49:46.711701,1786.78,Microsoft,E-commerce,UPI,MacBook,DEV651218,206.117.67.108,66.0,60,Bengaluru,India,1319522.21,12,33,255,25210.07,14066.66,0,1
TXN1000046,CUST500046,ACC700046,2025-01-24 13:10:24.842258,19778.79,Netflix,E-commerce,Net Banking,iPhone,DEV346706,109.52.89.96,,14,Singapore,Singapore,1036592.06,11,9,189,70003.75,2104.55,1,0
TXN1000047,CUST500047,ACC700047,2024-07-21 22:52:47.672773,2732.34,Alibaba,Electronics,Mobile Wallet,iPhone,DEV633338,186.130.133.137,78.0,168,Berlin,Germany,274788.24,7,32,3,35347.73,4150.36,1,1
TXN1000048,CUST500048,ACC700048,2026-05-06 06:03:17.753782,4811.36,Alibaba,Food,Net Banking,Windows,DEV149577,89.93.27.7,58.0,110,Pune,India,1297320.67,11,5,168,33311.46,217.02,0,0
TXN1000049,CUST500049,ACC700049,2025-10-20 11:00:23.947205,16952.04,Netflix,Travel,Credit Card,Tablet,DEV828702,42.70.77.155,61.0,144,Dubai,UAE,714680.96,12,37,175,49951.45,489.92,1,0
TXN1000050,CUST500050,ACC700050,2024-10-15 07:35:01.485957,495.67,Target,E-commerce,Net Banking,,DEV770414,70.86.95.69,71.0,4,Sydney,Australia,522935.27,10,8,138,71590.78,5346.91,1,1
TXN1000051,CUST500051,ACC700051,2026-04-28 05:52:32.877795,639.84,Apple,Retail,UPI,Tablet,DEV234781,134.193.9.141,80.0,133,Dubai,UAE,16068.81,7,32,216,30036.77,7493.36,1,0
TXN1000052,CUST500052,ACC700052,2025-09-23 00:40:41.498659,10339.35,Netflix,E-commerce,Net Banking,MacBook,DEV222646,162.246.140.23,43.0,19,Hyderabad,India,539253.0,6,6,101,19361.25,10386.24,0,1
TXN1000053,CUST500053,ACC700053,2026-03-15 04:41:43.622643,813.98,Target,Retail,Net Banking,,DEV865870,100.145.253.46,45.0,115,Delhi,India,1072232.62,6,3,49,70219.97,14200.38,0,1
TXN1000054,CUST500054,ACC700054,2026-02-24 15:23:13.839880,1862.52,Netflix,Travel,UPI,Windows,DEV735112,217.50.252.184,29.0,31,Kolkata,India,41417.65,6,32,165,2569.43,3069.29,0,1
TXN1000055,CUST500055,ACC700055,2026-03-12 07:40:08.836391,5267.53,Walmart,Travel,Mobile Wallet,MacBook,DEV478219,165.104.54.230,32.0,137,Chennai,India,1131398.16,0,39,242,62894.35,3119.85,0,0
TXN1000056,CUST500056,ACC700056,2026-02-02 20:03:00.649013,4405.93,Apple,Travel,Credit Card,iPhone,DEV586067,210.50.38.27,48.0,85,Tokyo,Japan,714569.5,7,29,139,32783.19,13702.55,1,0
TXN1000057,CUST500057,ACC700057,2025-08-30 05:53:47.131118,10455.53,,Entertainment,Debit Card,MacBook,DEV693734,136.207.112.123,54.0,157,Paris,France,796058.13,3,3,83,52242.58,11849.16,1,1
TXN1000058,CUST500058,ACC700058,2025-11-11 01:32:50.940358,8067.86,Samsung,Electronics,Debit Card,iPhone,DEV645544,132.40.179.167,33.0,179,Singapore,Singapore,626447.66,11,5,299,28979.84,947.66,1,1
TXN1000059,CUST500059,ACC700059,2026-05-20 04:36:42.920233,5267.93,Walmart,Travel,Mobile Wallet,iPhone,DEV246522,223.207.176.247,79.0,78,Toronto,Canada,624513.54,2,29,138,46302.13,9198.84,1,0
TXN1000060,CUST500060,ACC700060,2026-02-28 13:08:54.668548,834.88,eBay,Travel,Credit Card,Tablet,DEV569077,145.77.19.89,19.0,47,Mumbai,India,238534.44,5,39,83,24501.4,1508.47,0,0
TXN1000061,CUST500061,ACC700061,2024-12-16 09:15:21.967934,4003.25,Walmart,Food,Net Banking,iPhone,DEV199094,202.84.208.175,80.0,143,Delhi,India,786750.79,9,15,53,31142.31,2336.59,0,1
TXN1000062,CUST500062,ACC700062,2024-08-16 11:37:40.862247,2475.68,Samsung,Travel,Net Banking,Android,DEV745381,166.190.102.182,49.0,80,Bengaluru,India,650373.42,11,38,82,68590.51,2155.65,0,0
TXN1000063,CUST500063,ACC700063,2026-02-11 12:41:14.449890,479.98,Microsoft,Electronics,Mobile Wallet,iPhone,DEV266574,90.201.224.241,51.0,44,Ahmedabad,India,349357.27,11,7,49,22768.46,2658.25,0,0
TXN1000064,CUST500064,ACC700064,2024-08-02 10:16:23.984870,7459.91,Apple,Entertainment,Credit Card,Tablet,DEV552777,154.147.254.149,76.0,20,Pune,India,1186074.31,4,35,153,20024.42,14480.47,0,0
TXN1000065,CUST500065,ACC700065,2024-10-15 05:29:07.110073,4053.1,Best Buy,E-commerce,UPI,MacBook,DEV637852,222.208.79.2,37.0,125,New York,USA,107434.8,7,20,259,5495.72,8168.08,1,0
TXN1000066,CUST500066,ACC700066,2025-10-13 13:42:46.057105,1892.19,Walmart,Travel,Debit Card,iPhone,DEV562477,138.66.74.44,69.0,120,New York,USA,1276196.25,1,31,246,74317.15,5591.2,1,0
TXN1000067,CUST500067,ACC700067,2025-09-09 21:05:22.147873,1432.12,Costco,E-commerce,Debit Card,Windows,DEV702054,115.187.165.14,51.0,24,Kolkata,India,156141.93,10,22,192,62557.59,6711.51,0,0
TXN1000068,CUST500068,ACC700068,2026-05-28 07:01:14.648476,545.5,Best Buy,E-commerce,Debit Card,iPhone,DEV856156,41.164.19.253,46.0,37,Bengaluru,India,1224189.53,10,35,125,55287.33,6424.65,0,1
TXN1000069,CUST500069,ACC700069,2025-07-11 11:52:55.873655,2207.3,Target,Food,Mobile Wallet,MacBook,DEV820660,58.178.163.210,59.0,2,Kolkata,India,1060563.19,3,30,116,50574.19,3443.55,0,1
TXN1000070,CUST500070,ACC700070,2024-11-17 10:46:39.575096,2888.35,Alibaba,Retail,Net Banking,Windows,DEV576195,159.170.156.75,80.0,172,Kolkata,India,82180.85,0,16,69,60276.06,2735.11,0,0
TXN1000071,CUST500071,ACC700071,2026-04-14 17:36:17.555556,787.49,Apple,Entertainment,Credit Card,iPhone,DEV775632,118.114.80.135,35.0,103,Toronto,Canada,821045.96,0,24,289,31511.62,14605.07,1,1
TXN1000072,CUST500072,ACC700072,2026-04-02 15:03:43.522102,5780.26,Apple,E-commerce,Net Banking,Windows,DEV196762,169.72.76.199,76.0,94,London,UK,252739.76,6,17,235,40805.2,7220.11,1,0
TXN1000073,CUST500073,ACC700073,2024-12-02 02:41:11.218237,603.53,Airbnb,Food,Credit Card,Android,DEV642737,164.33.134.238,49.0,11,Bengaluru,India,1364358.41,9,39,192,73262.26,1968.95,0,0
TXN1000074,CUST500074,ACC700074,2024-10-02 11:57:18.459693,216.35,Flipkart,Entertainment,Mobile Wallet,Tablet,DEV603611,13.186.219.198,52.0,161,Delhi,India,745323.11,10,12,167,60068.03,12087.05,0,0
TXN1000075,CUST500075,ACC700075,2026-05-25 16:36:12.614607,5113.95,Target,Electronics,UPI,Tablet,DEV303379,158.27.224.149,58.0,77,Hyderabad,India,420179.97,7,18,71,40461.14,5866.34,0,0
TXN1000076,CUST500076,ACC700076,2026-04-17 17:45:31.815553,1207.89,Netflix,E-commerce,Credit Card,Windows,DEV211522,201.158.183.208,57.0,113,Delhi,India,1281668.33,11,1,190,46096.52,12719.15,0,0
TXN1000077,CUST500077,ACC700077,2024-08-13 02:04:47.794832,1593.95,Alibaba,E-commerce,Debit Card,Android,DEV279602,75.203.167.24,58.0,51,Pune,India,1235479.99,4,26,126,33266.22,9385.41,0,0
TXN1000078,CUST500078,ACC700078,2026-06-08 12:18:02.164155,782.49,Costco,Food,Mobile Wallet,Windows,DEV756529,164.133.156.167,49.0,95,Chennai,India,764500.39,5,10,235,37330.4,973.89,0,0
TXN1000079,CUST500079,ACC700079,2026-05-08 21:36:12.379990,362.87,Alibaba,Retail,Debit Card,MacBook,DEV813343,217.223.20.47,49.0,165,Pune,India,317212.74,5,1,108,48828.43,2567.35,0,0
TXN1000080,CUST500080,ACC700080,2026-04-12 20:07:33.978415,6343.83,Walmart,Entertainment,Mobile Wallet,MacBook,DEV496913,208.150.213.53,65.0,49,Pune,India,1381985.28,1,40,117,71698.54,10022.02,0,0
TXN1000081,CUST500081,ACC700081,2024-11-15 13:29:59.412429,907.9,Netflix,Travel,Credit Card,MacBook,DEV516609,129.92.84.155,53.0,17,Ahmedabad,India,806810.53,4,24,93,62991.92,6351.11,0,1
TXN1000082,CUST500082,ACC700082,2026-05-19 09:11:21.534458,9518.12,Alibaba,Entertainment,Mobile Wallet,Android,DEV294096,181.39.217.240,66.0,112,Vijayawada,India,959141.42,12,29,57,1481.31,276.44,0,0
TXN1000083,CUST500083,ACC700083,2026-05-23 22:54:24.827018,4053.39,Alibaba,Retail,Credit Card,Windows,DEV778863,216.26.208.228,,66,Bengaluru,India,363820.51,12,15,227,1823.8,1050.18,0,0
TXN1000084,CUST500084,ACC700084,2025-11-05 01:36:29.778286,1319.81,Walmart,E-commerce,Credit Card,MacBook,DEV877922,134.116.142.64,48.0,149,Vijayawada,India,1479476.35,9,15,59,31769.67,6920.67,0,1
TXN1000085,CUST500085,ACC700085,2026-04-11 23:57:09.259441,610.39,Walmart,Food,Mobile Wallet,Tablet,DEV342199,45.23.48.48,70.0,143,London,UK,210707.78,3,15,85,6476.34,14556.82,1,1
TXN1000086,CUST500086,ACC700086,2026-03-31 18:00:41.168993,869.17,Amazon,E-commerce,Debit Card,Windows,DEV480441,193.176.207.43,80.0,30,Hyderabad,India,359352.29,4,0,33,52704.15,10627.17,0,0
TXN1000087,CUST500087,ACC700087,2025-12-14 11:19:30.935105,537.79,Best Buy,Entertainment,Net Banking,iPhone,DEV485600,49.143.100.238,72.0,86,Tokyo,Japan,1371502.76,9,13,285,32821.2,580.75,1,0
TXN1000088,CUST500088,ACC700088,2026-05-14 18:17:39.619090,14575.73,Costco,Food,Net Banking,iPhone,DEV648780,217.102.99.162,71.0,180,London,UK,794523.24,11,0,282,54406.44,3054.95,1,1
TXN1000089,CUST500089,ACC700089,2025-05-05 16:42:20.850961,2131.2,Walmart,E-commerce,Mobile Wallet,iPhone,DEV753310,174.155.247.187,73.0,149,Toronto,Canada,961910.21,4,16,33,69921.69,12957.54,1,0
TXN1000090,CUST500090,ACC700090,2025-10-16 07:30:48.810722,5711.32,Target,Entertainment,UPI,Windows,DEV530956,223.30.110.224,60.0,171,Singapore,Singapore,695237.99,1,8,238,50207.55,11746.83,1,1
TXN1000091,CUST500091,ACC700091,2026-06-13 11:14:34.209980,509.1,Costco,Travel,Net Banking,Tablet,DEV402875,156.20.229.4,28.0,51,Vijayawada,India,1166993.02,12,29,162,5489.06,7067.92,0,0
TXN1000092,CUST500092,ACC700092,2025-06-04 16:25:57.724174,2166.86,Alibaba,Food,Debit Card,Windows,DEV662475,207.149.107.98,,137,Hyderabad,India,1057905.59,4,35,282,55016.0,10881.81,0,0
TXN1000093,CUST500093,ACC700093,2026-03-10 20:09:12.019074,5871.48,Walmart,Food,Net Banking,iPhone,DEV803729,140.82.163.11,47.0,32,Bengaluru,India,1291607.64,4,8,127,6476.98,9184.29,0,1
TXN1000094,CUST500094,ACC700094,2025-11-07 12:27:32.512524,1293.35,Costco,E-commerce,Net Banking,Windows,DEV182830,5.230.172.236,33.0,146,Kolkata,India,1124895.15,8,25,190,31956.44,12278.95,0,0
TXN1000095,CUST500095,ACC700095,2025-11-19 08:02:54.462682,5070.09,Google Play,Food,Mobile Wallet,iPhone,DEV579204,17.251.100.57,22.0,54,Hyderabad,India,327608.58,10,10,263,64866.66,4508.89,0,1
TXN1000096,CUST500096,ACC700096,2025-12-31 10:05:47.522783,611.2,Uber,Travel,Credit Card,MacBook,DEV865157,210.13.104.247,70.0,115,Delhi,India,1128627.73,0,18,258,46330.82,12879.31,0,0
TXN1000097,CUST500097,ACC700097,2026-01-28 11:05:19.901471,462.45,Target,Travel,Debit Card,Windows,DEV907118,142.95.236.164,79.0,15,Bengaluru,India,1089272.0,3,28,116,108.81,597.8,0,1
TXN1000098,CUST500098,ACC700098,2026-04-22 09:58:08.529197,2642.29,Costco,Food,Mobile Wallet,Android,DEV302799,198.70.206.218,66.0,118,Toronto,Canada,1245053.67,0,35,76,9307.35,2671.1,1,0
TXN1000099,CUST500099,ACC700099,2024-07-21 14:04:56.911312,1237.47,Apple,Food,Net Banking,Tablet,DEV636663,140.171.174.79,40.0,47,Delhi,India,1041061.28,7,6,13,63393.74,14669.91,0,1
TXN1000100,CUST500100,ACC700100,2025-04-19 00:56:10.473234,3435.97,Samsung,E-commerce,Debit Card,Tablet,DEV704339,64.182.119.35,19.0,138,Pune,India,273444.03,3,18,92,37515.41,6036.44,0,0
TXN1000101,CUST500101,ACC700101,2026-06-19 14:11:46.410771,250.16,eBay,Entertainment,Net Banking,Windows,DEV977752,180.5.254.253,27.0,29,Ahmedabad,India,1154377.45,12,37,242,52670.75,13201.8,0,0
TXN1000102,CUST500102,ACC700102,2024-07-31 04:12:14.649999,3685.88,Apple,Travel,Net Banking,MacBook,DEV137261,159.56.237.24,66.0,153,Mumbai,India,1227114.66,7,29,114,15573.86,5722.75,0,1
TXN1000103,CUST500103,ACC700103,2026-05-29 17:29:40.671851,24301.76,Apple,Retail,Credit Card,Tablet,DEV916750,133.169.61.220,71.0,165,Hyderabad,India,1282000.65,12,33,104,13089.93,6185.84,0,0
TXN1000104,CUST500104,ACC700104,2024-08-22 05:34:56.038059,1764.06,Google Play,Entertainment,Debit Card,MacBook,DEV798102,212.138.30.224,23.0,4,Mumbai,India,490076.1,6,26,295,64033.8,8526.47,0,1
TXN1000105,CUST500105,ACC700105,2025-07-07 10:09:16.325790,1870.84,Uber,Electronics,Credit Card,Android,DEV553034,145.13.122.134,61.0,23,Paris,France,545184.45,11,3,3,68034.02,14868.98,1,0
TXN1000106,CUST500106,ACC700106,2024-10-29 09:35:22.439005,2163.64,Samsung,Travel,Mobile Wallet,iPhone,DEV423303,64.133.116.109,52.0,44,Kolkata,India,781715.83,8,2,155,21618.67,5838.21,0,0
TXN1000107,CUST500107,ACC700107,2025-07-20 23:50:23.039392,280.91,Alibaba,Retail,Debit Card,Android,DEV667345,104.117.176.216,31.0,12,Kolkata,India,799367.9,8,39,236,38930.22,1910.39,0,1
TXN1000108,CUST500108,ACC700108,2025-04-18 17:28:10.881385,2768.74,,Travel,Mobile Wallet,iPhone,DEV685424,94.90.88.94,30.0,56,Tokyo,Japan,1401796.46,7,26,126,1548.14,13829.76,1,1
TXN1000109,CUST500109,ACC700109,2026-05-07 17:42:51.039036,363.07,Netflix,Travel,Mobile Wallet,Android,DEV306941,195.91.157.103,48.0,35,Mumbai,India,1342399.68,5,22,190,24315.18,8249.32,0,1
TXN1000110,CUST500110,ACC700110,2024-07-07 19:58:49.831407,1178.88,Amazn,E-commerce,Mobile Wallet,iPhone,DEV442038,130.250.239.137,34.0,49,New York,USA,768958.5,5,15,242,21490.52,8105.27,1,0
TXN1000111,CUST500111,ACC700111,2024-10-29 09:52:29.526288,6265.85,Best Buy,Food,Mobile Wallet,Windows,DEV871185,130.100.159.63,45.0,179,Dubai,UAE,534058.86,7,31,29,44016.0,9669.36,1,1
TXN1000112,CUST500112,ACC700112,2025-01-23 19:10:28.944205,866.78,Target,Travel,Net Banking,Android,DEV387352,216.108.103.163,36.0,31,Vijayawada,India,187183.04,7,22,74,72087.05,9418.98,0,0
TXN1000113,CUST500113,ACC700113,2024-07-13 22:44:56.065590,2984.68,Netflix,Retail,Net Banking,Android,DEV798451,216.219.146.14,,111,Hyderabad,India,82973.91,7,11,264,68259.7,3583.34,0,0
TXN1000114,CUST500114,ACC700114,2024-10-16 10:08:07.789486,4977.78,Amazon,E-commerce,UPI,Tablet,DEV265267,206.161.190.110,67.0,31,Bengaluru,India,369222.99,0,34,121,35915.72,5717.26,0,0
TXN1000115,CUST500115,ACC700115,2025-06-30 20:33:59.020751,2389.26,Uber,Electronics,Mobile Wallet,Android,DEV952521,77.98.58.58,35.0,157,Bengaluru,India,1301576.6,12,40,275,5122.79,8265.45,0,0
TXN1000116,CUST500116,ACC700116,2025-09-20 17:50:49.646602,459.0,Target,Entertainment,Net Banking,MacBook,DEV156967,115.130.196.86,21.0,59,Ahmedabad,India,99145.47,2,1,200,57714.74,13486.51,0,0
TXN1000117,CUST500117,ACC700117,2025-06-21 14:18:52.098768,1296.63,Costco,Travel,Mobile Wallet,Android,DEV520270,153.66.128.121,47.0,139,Delhi,India,1341327.98,7,19,48,10037.21,7287.23,0,0
TXN1000118,CUST500118,ACC700118,2024-08-19 23:25:53.786278,12828.33,Netflix,Entertainment,Credit Card,MacBook,DEV442671,103.177.226.129,40.0,35,Pune,India,531568.5,10,3,196,55815.22,6996.41,0,1
TXN1000119,CUST500119,ACC700119,2024-10-18 14:07:41.256737,238.64,Alibaba,Food,Mobile Wallet,Android,DEV681347,191.178.43.93,39.0,8,Kolkata,India,277182.32,6,24,231,39284.52,4627.53,0,1
TXN1000120,CUST500120,ACC700120,2025-02-11 04:19:48.450600,1372.26,,Electronics,Mobile Wallet,MacBook,DEV452389,169.29.186.30,60.0,97,Tokyo,Japan,121898.93,5,15,104,57729.52,13892.25,1,1
